item_id,pair_id,family,condition,plausibility,observed,intended,edit_type,edit_distance,expected,literal_interp,edited_interp,notes
SUBW-06a,SUBW-06,SUBW,implausible,implaus,"she gave him a lovely complement on his cooking","she gave him a lovely compliment on his cooking",sub,1,edit,"speaker meant 'complement'","speaker meant 'compliment'","d=1 (e->i); praise context predicts compliment"
SUBW-06b,SUBW-06,SUBW,plausible,plaus,"the wine was a perfect complement to the meal","the wine was a perfect complement to the meal",none,0,keep,"speaker meant 'complement'","'compliment' (reject)","complement correct in a pairing context"
SUBN-01a,SUBN-01,SUBN,implausible,implaus,"did you recieve the message","did you receive the message",sub,1,edit,"nonword 'recieve'","'receive'","transposition typo; literal is a nonword"
SUBN-01b,SUBN-01,SUBN,plausible,plaus,"did you receive the message","did you receive the message",none,0,keep,"'receive'","'receive' (already correct)","correctly spelled twin"
SUBN-02a,SUBN-02,SUBN,implausible,implaus,"the boy did an experimemt today","the boy did an experiment today",sub,1,edit,"nonword 'experimemt'","'experiment'","single-char substitution typo"
SUBN-02b,SUBN-02,SUBN,plausible,plaus,"the boy did an experiment today","the boy did an experiment today",none,0,keep,"'experiment'","'experiment' (already correct)","correctly spelled twin"
SUBN-03a,SUBN-03,SUBN,implausible,implaus,"she definately agreed with the plan","she definitely agreed with the plan",sub,1,edit,"nonword 'definately'","'definitely'","common a/i typo"
SUBN-03b,SUBN-03,SUBN,plausible,plaus,"she definitely agreed with the plan","she definitely agreed with the plan",none,0,keep,"'definitely'","'definitely' (already correct)","correctly spelled twin"
SUBN-04a,SUBN-04,SUBN,implausible,implaus,"the mountian was covered in snow","the mountain was covered in snow",sub,1,edit,"nonword 'mountian'","'mountain'","transposition typo"
SUBN-04b,SUBN-04,SUBN,plausible,plaus,"the mountain was covered in snow","the mountain was covered in snow",none,0,keep,"'mountain'","'mountain' (already correct)","correctly spelled twin"
SUBN-05a,SUBN-05,SUBN,implausible,implaus,"they reciesofted the parcel yesterday","they received the parcel yesterday",sub,3,edit,"nonword 'recieofted'","'received'","FAR edit (d~3): expect LOW edit rate; may be unreachable at max_dist=2 -> reachability gate"
SUBN-06a,SUBN-06,SUBN,implausible,implaus,"the chef seasoned the suop","the chef seasoned the soup",sub,1,edit,"nonword 'suop'","'soup'","d=1 transposition (suop->soup)"
SUBN-06b,SUBN-06,SUBN,plausible,plaus,"the chef seasoned the soup","the chef seasoned the soup",none,0,keep,"'chef'","'chef' (already correct)","correctly spelled twin"
DELTO-01a,DELTO-01,DEL_TO,implausible,implaus,"The mother gave the candle a daughter","The mother gave the candle to a daughter",del_to,1,edit,"candle is the recipient (implausible)","daughter is the recipient via to-dative","role-swap pair; canonical Gibson item"
DELTO-01b,DELTO-01,DEL_TO,plausible,plaus,"The mother gave the daughter a candle","The mother gave the daughter a candle",none,0,keep,"daughter is the recipient (plausible DO)","'to' inserted (reject)","matched plausible: same words, swapped roles"
DELTO-02a,DELTO-02,DEL_TO,implausible,implaus,"The waiter served the soup the customers","The waiter served the soup to the customers",del_to,1,edit,"soup is the recipient (implausible)","customers are the recipient via to-dative","role-swap pair"
DELTO-02b,DELTO-02,DEL_TO,plausible,plaus,"The waiter served the customers the soup","The waiter served the customers the soup",none,0,keep,"customers are the recipient (plausible DO)","'to' inserted (reject)","matched plausible"
DELTO-03a,DELTO-03,DEL_TO,implausible,implaus,"The teacher read the story the children","The teacher read the story to the children",del_to,1,edit,"story is the recipient (implausible)","children are the recipient via to-dative","role-swap pair"
DELTO-03b,DELTO-03,DEL_TO,plausible,plaus,"The teacher read the children the story","The teacher read the children the story",none,0,keep,"children are the recipient (plausible DO)","'to' inserted (reject)","matched plausible"
DELTO-04a,DELTO-04,DEL_TO,implausible,implaus,"The judge awarded the trophy the winner","The judge awarded the trophy to the winner",del_to,1,edit,"trophy is the recipient (implausible)","winner is the recipient via to-dative","role-swap pair"
DELTO-04b,DELTO-04,DEL_TO,plausible,plaus,"The judge awarded the winner the trophy","The judge awarded the winner the trophy",none,0,keep,"winner is the recipient (plausible DO)","'to' inserted (reject)","matched plausible"
DELFOR-01a,DELFOR-01,DEL_FOR,implausible,implaus,"The tailor sewed the dress the bride","The tailor sewed the dress for the bride",del_for,1,edit,"dress is the beneficiary (implausible)","bride is the beneficiary via for-dative","role-swap pair (for-benefactive)"
DELFOR-01b,DELFOR-01,DEL_FOR,plausible,plaus,"The tailor sewed the bride the dress","The tailor sewed the bride the dress",none,0,keep,"bride is the beneficiary (plausible DO)","'for' inserted (reject)","matched plausible"
DELFOR-02a,DELFOR-02,DEL_FOR,implausible,implaus,"The father cooked the dinner the family","The father cooked the dinner for the family",del_for,1,edit,"dinner is the beneficiary (implausible)","family is the beneficiary via for-dative","role-swap pair"
DELFOR-02b,DELFOR-02,DEL_FOR,plausible,plaus,"The father cooked the family the dinner","The father cooked the family the dinner",none,0,keep,"family is the beneficiary (plausible DO)","'for' inserted (reject)","matched plausible"
DELFOR-03a,DELFOR-03,DEL_FOR,implausible,implaus,"The baker iced the cake the children","The baker iced the cake for the children",del_for,1,edit,"cake is the beneficiary (implausible)","children are the beneficiary via for-dative","role-swap pair"
DELFOR-03b,DELFOR-03,DEL_FOR,plausible,plaus,"The baker iced the children the cake","The baker iced the children the cake",none,0,keep,"children are the beneficiary (plausible DO)","'for' inserted (reject)","matched plausible"
DELFROM-01a,DELFROM-01,DEL_FROM,implausible,implaus,"The businessman benefited the tax law","The businessman benefited from the tax law",del_from,1,edit,"businessman acts on the tax law (implausible transitive)","businessman benefits from the tax law","transitive->intransitive (Gibson's other frame)"
DELFROM-01b,DELFROM-01,DEL_FROM,plausible,plaus,"The businessman benefited from the tax law","The businessman benefited from the tax law",none,0,keep,"benefits from the tax law (plausible)","'from' removed/literal-transitive (reject)","matched plausible: complete intransitive form"
DELFROM-02a,DELFROM-02,DEL_FROM,implausible,implaus,"The patient slowly recovered the illness","The patient slowly recovered from the illness",del_from,1,edit,"patient acts on the illness (implausible transitive)","patient recovers from the illness","transitive->intransitive"
DELFROM-02b,DELFROM-02,DEL_FROM,plausible,plaus,"The patient slowly recovered from the illness","The patient slowly recovered from the illness",none,0,keep,"recovers from the illness (plausible)","'from' removed (reject)","matched plausible"
INS-01a,INS-01,INS_DUP,implausible,implaus,"the boy handed handed the pencil to the girl","the boy handed the pencil to the girl",ins,1,edit,"two handing events (implausible)","one handing event; 'handed' doubled","doubled content word"
INS-01b,INS-01,INS_DUP,plausible,plaus,"the boy handed the pencil to the girl","the boy handed the pencil to the girl",none,0,keep,"one handing event","drop a word (reject)","matched single-word twin"
INS-02a,INS-02,INS_DUP,implausible,implaus,"the cat sat on on the mat","the cat sat on the mat",ins,1,edit,"'on on' (implausible)","'on' doubled","doubled function word"
INS-02b,INS-02,INS_DUP,plausible,plaus,"the cat sat on the mat","the cat sat on the mat",none,0,keep,"the cat sat on the mat","drop a word (reject)","matched single-word twin"
INS-03a,INS-03,INS_DUP,implausible,implaus,"she quickly quickly finished her lunch","she quickly finished her lunch",ins,1,edit,"'quickly quickly' (implausible)","'quickly' doubled","doubled adverb"
INS-03b,INS-03,INS_DUP,plausible,plaus,"she quickly finished her lunch","she quickly finished her lunch",none,0,keep,"she quickly finished her lunch","drop a word (reject)","matched single-word twin"
CTRL-01,CTRL-01,CTRL,control,plaus,"The pirate buried the treasure.","The pirate buried the treasure.",none,0,keep,"literal","none","clean; rare content word must be kept"
CTRL-02,CTRL-02,CTRL,control,plaus,"The chef cooked the salmon.","The chef cooked the salmon.",none,0,keep,"literal","none","clean baseline"
CTRL-03,CTRL-03,CTRL,control,plaus,"The astronomer photographed the comet.","The astronomer photographed the comet.",none,0,keep,"literal","none","clean; rare words"
CTRL-04,CTRL-04,CTRL,control,plaus,"The gardener planted the tulips.","The gardener planted the tulips.",none,0,keep,"literal","none","clean baseline"
LADDER-give-1,LADDER-give,LADDER,ladder,implaus_high,"The volunteer gave the blanket the children","The volunteer gave the blanket to the children",del_to,1,edit,"blanket is the recipient (impossible)","blanket given to the children","ladder L1 pure-insert: NP1=blanket (object)"
LADDER-give-2,LADDER-give,LADDER,ladder,implaus_mid,"The volunteer gave the shelter the children","The volunteer gave the shelter to the children",del_to,1,edit,"shelter is the recipient (odd)","shelter given to the children","ladder L2 pure-insert: NP1=shelter (institution) -- gate decides the grade"
LADDER-give-3,LADDER-give,LADDER,ladder,plaus,"The volunteer gave the family the children","The volunteer gave the family the children",none,0,keep,"family is the recipient (plausible DO)","'to' inserted (reject)","ladder L3: NP1=family (good recipient) -> no edit"
LADDER-send-1,LADDER-send,LADDER,ladder,implaus_high,"The clerk sent the package the manager","The clerk sent the package to the manager",del_to,1,edit,"package is the recipient (impossible)","package sent to the manager","ladder L1 pure-insert: NP1=package (object)"
LADDER-send-2,LADDER-send,LADDER,ladder,implaus_mid,"The clerk sent the branch the manager","The clerk sent the branch to the manager",del_to,1,edit,"branch is the recipient (odd)","branch sent to the manager","ladder L2 pure-insert: NP1=branch (institution) -- gate decides the grade"
LADDER-send-3,LADDER-send,LADDER,ladder,plaus,"The clerk sent the team the manager","The clerk sent the team the manager",none,0,keep,"team is the recipient (plausible DO)","'to' inserted (reject)","ladder L3: NP1=team (good recipient) -> no edit"
INS-04a,INS-04,INS_DUP,implausible,implaus,"she went to to the store","she went to the store",ins,1,edit,"'to to' (implausible)","'to' doubled","doubled function word 'to'"
INS-04b,INS-04,INS_DUP,plausible,plaus,"she went to the store","she went to the store",none,0,keep,"she went to the store","remove 'to' (reject)","matched single-word twin"
INS-05a,INS-05,INS_DUP,implausible,implaus,"he is is very tall","he is very tall",ins,1,edit,"'is is' (implausible)","'is' doubled","doubled copula 'is'"
INS-05b,INS-05,INS_DUP,plausible,plaus,"he is very tall","he is very tall",none,0,keep,"he is very tall","remove 'is' (reject)","matched single-word twin"
INS-06a,INS-06,INS_DUP,implausible,implaus,"we saw a a movie","we saw a movie",ins,1,edit,"'a a' (implausible)","'a' doubled","doubled article 'a'"
INS-06b,INS-06,INS_DUP,plausible,plaus,"we saw a movie","we saw a movie",none,0,keep,"we saw a movie","remove 'a' (reject)","matched single-word twin"
INS-07a,INS-07,INS_DUP,implausible,implaus,"the book on the the table","the book on the table",ins,1,edit,"'the the' (implausible)","'the' doubled","doubled article 'the'"
INS-07b,INS-07,INS_DUP,plausible,plaus,"the book on the table","the book on the table",none,0,keep,"the book on the table","remove 'the' (reject)","matched single-word twin"
INS-08a,INS-08,INS_DUP,implausible,implaus,"they walked walked home slowly","they walked home slowly",ins,1,edit,"'walked walked' (implausible)","'walked' doubled","doubled verb 'walked'"
INS-08b,INS-08,INS_DUP,plausible,plaus,"they walked home slowly","they walked home slowly",none,0,keep,"they walked home slowly","remove 'walked' (reject)","matched single-word twin"
INS-09a,INS-09,INS_DUP,implausible,implaus,"the very very tall man left","the very tall man left",ins,1,edit,"'very very' (implausible)","'very' doubled","doubled intensifier 'very'"
INS-09b,INS-09,INS_DUP,plausible,plaus,"the very tall man left","the very tall man left",none,0,keep,"the very tall man left","remove 'very' (reject)","matched single-word twin"
DEL-to-05a,DEL-to-05,DEL_TO,implausible,implaus,"I want go home","I want to go home",del_to,1,edit,"'want go' ungrammatical","restore omitted 'to'","high-pref jarring omission (widens DEL spread)"
DEL-to-05b,DEL-to-05,DEL_TO,plausible,plaus,"I want to go home","I want to go home",none,0,keep,"grammatical","'to' already present (reject)","matched grammatical twin"
DEL-of-01a,DEL-of-01,DEL_OF,implausible,implaus,"this is one the best","this is one of the best",del_of,1,edit,"'one the best' ungrammatical","restore omitted 'of'","high-pref jarring omission (widens DEL spread)"
DEL-of-01b,DEL-of-01,DEL_OF,plausible,plaus,"this is one of the best","this is one of the best",none,0,keep,"grammatical","'of' already present (reject)","matched grammatical twin"
DEL-a-01a,DEL-a-01,DEL_A,implausible,implaus,"he is good man","he is a good man",del_a,1,edit,"'is good man' ungrammatical","restore omitted 'a'","high-pref jarring omission (widens DEL spread)"
DEL-a-01b,DEL-a-01,DEL_A,plausible,plaus,"he is a good man","he is a good man",none,0,keep,"grammatical","'a' already present (reject)","matched grammatical twin"
DEL-a-02a,DEL-a-02,DEL_A,implausible,implaus,"she lives in big house","she lives in a big house",del_a,1,edit,"'in big house' ungrammatical","restore omitted 'a'","jarring omission (widens DEL spread)"
DEL-a-02b,DEL-a-02,DEL_A,plausible,plaus,"she lives in a big house","she lives in a big house",none,0,keep,"grammatical","'a' already present (reject)","matched grammatical twin"
DEL-the-01a,DEL-the-01,DEL_THE,implausible,implaus,"we went to store","we went to the store",del_the,1,edit,"'to store' ungrammatical","restore omitted 'the'","mid-pref omission (widens DEL spread)"
DEL-the-01b,DEL-the-01,DEL_THE,plausible,plaus,"we went to the store","we went to the store",none,0,keep,"grammatical","'the' already present (reject)","matched grammatical twin"
INS-to-01a,INS-to-01,INS_TO,implausible,implaus,"The mother gave the daughter to the candle","The mother gave the daughter the candle",ins,1,edit,"daughter given to the candle (implausible)","'to' spurious; daughter receives the candle","Gibson spurious-'to' insertion (delete to); mirror of DELTO-01"
INS-to-01b,INS-to-01,INS_TO,plausible,plaus,"The mother gave the candle to the daughter","The mother gave the candle to the daughter",none,0,keep,"candle given to the daughter (plausible)","delete 'to' (reject)","matched: 'to' is legit -> keep"
INS-to-02a,INS-to-02,INS_TO,implausible,implaus,"The waiter served the customers to the soup","The waiter served the customers the soup",ins,1,edit,"customers served to the soup (implausible)","'to' spurious; customers receive the soup","spurious-'to' insertion (delete to)"
INS-to-02b,INS-to-02,INS_TO,plausible,plaus,"The waiter served the soup to the customers","The waiter served the soup to the customers",none,0,keep,"soup served to the customers (plausible)","delete 'to' (reject)","matched: 'to' is legit -> keep"
INS-to-03a,INS-to-03,INS_TO,implausible,implaus,"The teacher read the children to the story","The teacher read the children the story",ins,1,edit,"children read to the story (implausible)","'to' spurious; children get the story","spurious-'to' insertion (delete to)"
INS-to-03b,INS-to-03,INS_TO,plausible,plaus,"The teacher read the story to the children","The teacher read the story to the children",none,0,keep,"story read to the children (plausible)","delete 'to' (reject)","matched: 'to' is legit -> keep"
INS-to-04a,INS-to-04,INS_TO,implausible,implaus,"The judge awarded the winner to the trophy","The judge awarded the winner the trophy",ins,1,edit,"winner awarded to the trophy (implausible)","'to' spurious; winner gets the trophy","spurious-'to' insertion (delete to)"
INS-to-04b,INS-to-04,INS_TO,plausible,plaus,"The judge awarded the trophy to the winner","The judge awarded the trophy to the winner",none,0,keep,"trophy awarded to the winner (plausible)","delete 'to' (reject)","matched: 'to' is legit -> keep"
